,name,city,Experience,Fess,hospital_name,Review
138,,,General Physician in top localitiesGeneral Physician in FortGeneral Physician in Mohammed Ali RoadGeneral Physician in GoregaonGeneral Physician in ChurchgateGeneral Physician in Goregaon WestGeneral Physician in BandraGeneral Physician in VileparleGeneral Physician in Mira RoadGeneral Physician in Mira BhayandarGeneral Physician in ParelRelated services in MumbaiDoctors For Fertilization in MumbaiDoctors For Nt Scan in MumbaiDoctor For Skin Allergies in MumbaiDoctors For Hair Regrowth in MumbaiDoctor For Spirometry in MumbaiDoctors For Kidney Stone Treatment in MumbaiDoctors For Dyslipidemia in MumbaiDoctors For Migraine Treatment in MumbaiDoctor For Sleep Apnea in MumbaiDoctors For Piles Treatment in MumbaiRelated treatments in MumbaiTreatment For Scabies in MumbaiTreatment For Fibromyalgia in MumbaiTreatment For Muscle Cramps in MumbaiTreatment For Tuberculosis in MumbaiTreatment For Chronic Fatigue Syndrome in MumbaiTreatment For Copd in MumbaiTreatment For Type 1 Diabetes in MumbaiDoctors For Breast Pain in MumbaiTreatment For Numbness in MumbaiTreatment For Muscle Spasm in MumbaiHealth ArticlesMeaslesMumpsShinglesMigraineTension Headache,₹1000 Consultation fee at clinic,,
139,,,You are seeing results from Mumbai. See results near you,Special Interest in Infectious Diseases,,
140,,,,15 years experience overall,,
141,,,,₹2000 Consultation fee at clinic,,
142,,,,23 years experience overall,,
143,,,,₹1500 Consultation fee at clinic,,
144,,,,17 years experience overall,,
145,,,,₹500 Consultation fee at clinic,,
146,,,,24 years experience overall,,
147,,,,₹1500 Consultation fee at clinic,,
148,,,,You are seeing results from Mumbai. See results near you,,
149,,,,22 years experience overall,,
150,,,,₹650 Consultation fee at clinic,,
151,,,,Special Interest in Diabetology,,
152,,,,16 years experience overall,,
153,,,,₹3000 Consultation fee at clinic,,
154,,,,16 years experience overall,,
155,,,,₹1000 Consultation fee at clinic,,
156,,,,21 years experience overall,,
157,,,,₹900 Consultation fee at clinic,,
158,,,,24 years experience overall,,
159,,,,₹1300 Consultation fee at clinic,,
160,,,,8 years experience overall,,
161,,,,₹500 Consultation fee at clinic,,
162,,,,1 year experience,,
163,,,,₹200 Consultation fee at clinic,,
164,,,,6 years experience overall,,
165,,,,₹1000 Consultation fee at clinic,,
166,,,,23 years experience overall,,
167,,,,₹800 Consultation fee at clinic,,
168,,,,44 years experience overall,,
169,,,,₹2300 Consultation fee at clinic,,
170,,,,You are seeing results from Mumbai. See results near you,,
171,,,,20 years experience overall,,
172,,,,₹900 Consultation fee at clinic,,
173,,,,30 years experience overall,,
174,,,,₹1850 Consultation fee at clinic,,
175,,,,1 year experience,,
176,,,,₹650 Consultation fee at clinic,,
177,,,,6 years experience overall,,
178,,,,₹600 Consultation fee at clinic,,
179,,,,10 years experience overall,,
180,,,,₹1000 Consultation fee at clinic,,
181,,,,12 years experience overall,,
182,,,,₹1600 Consultation fee at clinic,,
183,,,,21 years experience overall,,
184,,,,₹1850 Consultation fee at clinic,,
185,,,,9 years experience overall,,
186,,,,₹500 Consultation fee at clinic,,
187,,,,31 years experience overall,,
188,,,,₹1800 Consultation fee at clinic,,
189,,,,13 years experience overall,,
190,,,,₹1800 Consultation fee at clinic,,
191,,,,You are seeing results from Mumbai. See results near you,,
192,,,,10 years experience overall,,
193,,,,₹1500 Consultation fee at clinic,,
194,,,,36 years experience overall,,
195,,,,₹600 Consultation fee at clinic,,
196,,,,7 years experience overall,,
197,,,,₹2000 Consultation fee at clinic,,
198,,,,11 years experience overall,,
199,,,,₹1000 Consultation fee at clinic,,
200,,,,45 years experience overall,,
201,,,,₹1300 Consultation fee at clinic,,
202,,,,Special Interest in Diabetology,,
203,,,,12 years experience overall,,
204,,,,₹800 Consultation fee at clinic,,
205,,,,18 years experience overall,,
206,,,,₹1500 Consultation fee at clinic,,
207,,,,8 years experience overall,,
208,,,,₹800 Consultation fee at clinic,,
209,,,,2 years experience overall,,
210,,,,₹1200 Consultation fee at clinic,,
211,,,,10 years experience overall,,
212,,,,₹700 Consultation fee at clinic,,
213,,,,You are seeing results from Mumbai. See results near you,,
